"","ELEC_DATE","ELEC_TYPE","CITY","DISTRICT","ELEC_POP","ELEC_VOTER","ELEC_RESIGN","ELEC_TURNOUT","ELEC_REASON","ELEC_REASON_RE","ELEC_REASON_DES","ELEC_PARTY","ELEC_ELECTED","ELEC_GENDER","ELEC_SHARE","ELEC_NUMBER","RIVAL_PARTY","RIVAL_NAME","RIVAL_GENDER","RIVAL_SHARE","ELEC_COMPETE","ELEC_COMPETE1","ELEC_COMPETE2","ELEC_COMPETE3","ELEC_CANDINUM","ELEC_EFFECNUM","PRE_POP","PRE_VOTER","PRE_RESIGN","PRE_TURNOUT","PRE_PARTY","PRE_ELECTED","PRE_SHARE","PRE_RIVAL_SHARE","PRE_COMPETE","PRE_CANDINUM","POST_POP","POST_VOTER","POST_RESIGN","POST_TURNOUT","POST_PARTY","POST_ELECTED","POST_SHARE","POST_RIVAL_SHARE","POST_COMPETE","POST_CANDINUM","GENERAL_DATE","GENERAL_DIFF","GENERAL_TENURE","PRESIDENT_DATE","PRESIDENT_DIFF","LOCAL_DATE","LOCAL_DIFF","NATL_DATE","NATL_DIFF","PRESIDENT_TENURE","PRESIDENT_POSITIVE","PRESIDENT_NEGATIVE","REGIONALISM","RULINGPARTY","RULINGAPPROVAL","PRE_ELEC_CANDI_DIFF","POST_ELEC_CANDI_DIFF","PRE_ELEC_SHIFT","POST_ELEC_SHIFT","PRE_ELEC_COMPETE_DIFF","POST_ELEC_COMPETE_DIFF","PRE_ELEC_SHIFT2","PRESIDENT","ELEC_RULING","ELEC_OPPOSITION","PREVOTE","METROPOL","CPI_grth","CPI_grthyearly","CPI_yearly"
"1",1989-04-14,"국회의원","강원도","동해시",57211,45234,11977,79.0652147314328,"당선무효",3,"대법원의 당선무효 판결로 의원직 상실","민주정의당","홍희표","남",57.8,2,"통일민주당","이관형","남",27.11,46.9031141868512,30.69,0.361441526321988,0.638558473678012,4,4,57226,47214,10012,82.5,"무소속","홍희표",32.39,31.6,97.5609756097561,5,60975,47060,13915,77.18,"통일국민당","김효영",46.28,34.61,74.7839239412273,3,1992-03-24,1075,2,1992-12-18,1344,1991-06-20,797,1991-06-20,797,3,41,45,"OTHERS",1,NA,1,-1,1,1,-50.6578614229049,-27.8808097543761,3,"노태우",0,0,0,2,5.2,5.7,37.4
"2",1989-08-18,"국회의원","서울시","영등포을",168812,117870,50942,69.823235315025,"당선무효",3,"선거무효(대한민국선거사 5집, p. 134)","민주정의당","나웅배","남",38.68,3,"평화민주당","이용희","남",30.04,77.6628748707342,8.64,0.125727590221187,0.874272409778813,6,5,162702,110352,52350,67.82,"민주정의당","김명섭",29.15,28.72,98.52487135506,4,175365,118800,56565,67.74,"민주자유당","나웅배",41.18,40.95,99.4414764448762,4,1992-03-24,949,2,1992-12-18,1218,1991-06-20,671,1991-06-20,671,3,28,41,"OTHERS",1,NA,-2,-2,1,1,-20.8619964843258,-21.7786015741419,1,"노태우",0,0,0,1,5.5,5.7,37.4
"3",1990-04-03,"국회의원","대구시","서구갑",132364,84644,47720,63.9479012420296,"사퇴",2,"5.18 발표책임자로 지목(대한민국 선거사 5집, p.154)","민주자유당","문희갑","남",51.55,2,"민주당","백승홍","남",42.5,82.4442289039767,9.05,0.0962254120148857,0.903774587985114,3,3,126408,97919,28489,77.46,"민주정의당","정호영",54.34,22.86,42.0684578579315,5,133591,98936,34655,74.06,"무소속","정호용",51.54,27.3,52.9685681024447,4,1992-03-24,721,1,1992-12-18,990,1991-06-20,443,1991-06-20,443,2,28,40,"TK",0,NA,2,1,1,1,40.3757710460452,29.475660801532,1,"노태우",1,0,0,1,8.7,8.6,40.6
"4",1990-04-03,"국회의원","충청북도","진천음성군",89987,70345,19642,78.1724026803872,"사망",1,"대한민국선거사 5집, p. 158","무소속","손학규","남",53.22,1,"민주자유당","민태구","남",44.31,83.2581736189403,8.91,0.0913565056905567,0.908643494309443,2,2,91198,77575,13623,85.06,"민주정의당","김완태",44.93,30.46,67.7943467616292,3,91089,73396,17693,80.58,"민주자유당","민태구",48.06,24.3,50.561797752809,7,1992-03-24,721,1,1992-12-18,990,1991-06-20,443,1991-06-20,443,2,28,40,"CH",0,NA,1,5,1,1,15.4638268573111,32.6963758661313,2,"노태우",0,0,0,3,8.7,8.6,40.6
"5",1990-11-09,"국회의원","전라남도","영광함평군",104352,73218,31134,70.1644434222631,"당선무효",3,"국보법위반으로 피선거권 상실(대한민국선거사 5집, p. 160)","평화민주당","이수인","남",75.37,1,"민주자유당","조기상","남",22.42,29.7465835212949,52.95,0.54146640760814,0.45853359239186,3,2,111644,87445,24199,78.32,"평화민주당","서경원",74.79,23.09,30.8731113785265,3,98258,72555,25703,73.84,"민주당","김인곤",59.29,25.22,42.5366840951257,5,1992-03-24,501,1,1992-12-18,770,1991-06-20,223,1991-06-20,223,2,28,55,"HONAM",0,NA,0,2,0,1,-1.1265278572316,-12.7901005738307,4,"노태우",0,1,0,3,8.6,8.6,40.6
"6",1993-04-23,"국회의원","부산시","동래구갑",218891,88537,130354,40.4479855270431,"사직",1,"대통령비서실장취임(대한민국선거사 5집, p.414)","민주자유당","강경식","남",81.59,2,"민주당","정인조","남",17.7,21.6938350288025,63.89,0.6434686272535,0.3565313727465,2,2,218453,142342,76111,65.16,"민주자유당","박관용",65.81,23.44,35.6176872815682,3,115862,68633,47229,59.24,"신한국당","박관용",63.75,23.67,37.1294117647059,4,1996-04-11,1084,2,1997-12-18,1700,1995-06-27,795,1995-06-27,795,4,70.9,13.9,"PK",1,58.8,1,2,1,0,-13.9238522527656,-15.4355767359033,1,"김영삼",1,0,0,1,4.8,4.8,49.4
"7",1993-04-23,"국회의원","부산시","사하구",242762,102300,140462,42.140038391511,"당선무효",3,"선거법위반으로 피선거권 상실(대한민국선거사 5집, p.414)","민주자유당","박종웅","남",52.43,1,"민주당","김정길","남",20.16,38.4512683578104,32.27,0.444551591128254,0.555448408871746,5,4,225744,154273,71471,68.34,"무소속","서석재",44.73,22.87,51.1289961994187,6,NA,NA,NA,NA,"신한국당",NA,NA,NA,NA,NA,1996-04-11,1084,2,1997-12-18,1700,1995-06-27,795,1995-06-27,795,4,70.9,13.9,"PK",1,58.8,1,-5,1,NA,-12.6777278416083,38.4512683578104,3,"김영삼",1,0,0,1,4.8,4.8,49.4
"8",1993-04-23,"국회의원","경기도","광명시",226493,93414,133079,41.2436587444204,"사망",1,"대한민국선거사 5집, p.414","민주자유당",NA,"남",44.62,1,"민주당","최정택","남",30.37,68.0636485880771,14.25,0.190025336711561,0.809974663288439,10,4,222575,154142,68433,69.25,"통일국민당","윤항렬",34.92,25.1,71.8785796105384,9,NA,NA,NA,NA,"새정치국민회의(갑)/신한국당(을)",NA,NA,NA,NA,NA,1996-04-11,1084,2,1997-12-18,1700,1995-06-27,795,1995-06-27,795,4,70.9,13.9,"OTHERS",1,58.8,-1,-10,1,NA,-3.81493102246127,68.0636485880771,3,"김영삼",0,0,0,2,4.8,4.8,49.4
"9",1993-06-11,"국회의원","강원도","명주양양군",69336,47484,21852,68.4839044652129,"사퇴",2,"재산축적의혹으로 사직(대한민국선거사 5집, p.417)","민주당","최욱철","남",48.22,1,"민주자유당","김명윤","남",40.75,84.5085026959768,7.47,0.0839608856918062,0.916039114308194,3,3,69116,55646,13470,80.51,"민주자유당","김문기",36.45,33.85,92.8669410150892,5,NA,NA,NA,NA,"자유민주연합(강릉시갑)/통합민주당(강릉시을)",NA,NA,NA,NA,NA,1996-04-11,1035,2,1997-12-18,1651,1995-06-27,746,1995-06-27,746,4,86.5,0.9,"OTHERS",0,26.6,2,-3,1,NA,-8.35843831911238,84.5085026959768,2,"김영삼",0,0,0,3,4.8,4.8,49.4
"10",1993-06-11,"국회의원","강원도","철원화천군",55062,36321,18741,65.9638225999782,"사퇴",2,"재산축적의혹으로 사직(대한민국선거사 5집, p.417)","민주자유당","이용삼","남",59.73,1,"신정치개혁당","이경희","남",21.1,35.3256320107149,38.63,0.477916615118149,0.522083384881851,3,3,54549,44074,10475,80.8,"민주자유당","김재순",36.48,32.7,89.6381578947369,4,NA,NA,NA,NA,"신한국당",NA,NA,NA,NA,NA,1996-04-11,1035,2,1997-12-18,1651,1995-06-27,746,1995-06-27,746,4,86.5,0.9,"OTHERS",1,26.6,1,-3,1,NA,-54.312525884022,35.3256320107149,1,"김영삼",0,0,0,3,4.8,4.8,49.4
"11",1993-06-11,"국회의원","경상북도","예천군",51906,37023,14883,71.3270142180095,"사퇴",2,"재산축적의혹으로 사직(대한민국선거사 5집, p.417)","민주자유당","반형식","남",48.44,2,"민주당","안희대","남",30.15,62.2419488026424,18.29,0.232726810026721,0.767273189973279,4,4,53377,41017,12360,76.84,"민주자유당","유학성",60.73,20.62,33.9535649596575,3,NA,NA,NA,NA,"신한국당",NA,NA,NA,NA,NA,1996-04-11,1035,2,1997-12-18,1651,1995-06-27,746,1995-06-27,746,4,86.5,0.9,"TK",1,26.6,-1,-4,1,NA,28.2883838429849,62.2419488026424,1,"김영삼",1,0,0,3,4.8,4.8,49.4
