"","rowname"
"1","abind"
"2","acepack"
"3","admisc"
"4","AER"
"5","alluvial"
"6","alphavantager"
"7","Amelia"
"8","animation"
"9","anomalize"
"10","antiword"
"11","anytime"
"12","aod"
"13","arm"
"14","asciicast"
"15","asciiSetupReader"
"16","ash"
"17","AsioHeaders"
"18","askpass"
"19","assertthat"
"20","attachment"
"21","av"
"22","babynames"
"23","backports"
"24","base64"
"25","base64enc"
"26","BayesFactor"
"27","bayesplot"
"28","BayesPostEst"
"29","bayestestR"
"30","BBmisc"
"31","bbmle"
"32","bdsmatrix"
"33","beeswarm"
"34","bench"
"35","bestglm"
"36","betareg"
"37","BH"
"38","bib2df"
"39","bibtex"
"40","binman"
"41","BiocManager"
"42","BiocVersion"
"43","bit"
"44","bit64"
"45","bitops"
"46","blob"
"47","blogdown"
"48","blorr"
"49","bmp"
"50","boa"
"51","bookdown"
"52","bookdownplus"
"53","boot"
"54","brew"
"55","bridgesampling"
"56","brio"
"57","brm"
"58","brms"
"59","Brobdingnag"
"60","broom"
"61","broom.mixed"
"62","broomExtra"
"63","bslib"
"64","butcher"
"65","cachem"
"66","Cairo"
"67","calendR"
"68","callr"
"69","car"
"70","carData"
"71","caret"
"72","caTools"
"73","cellranger"
"74","checkmate"
"75","chromote"
"76","chron"
"77","class"
"78","classInt"
"79","cld3"
"80","cli"
"81","clipr"
"82","clisymbols"
"83","cluster"
"84","clusterSEs"
"85","coda"
"86","codebook"
"87","coder"
"88","codetools"
"89","coin"
"90","collapse"
"91","colorDF"
"92","colorspace"
"93","colourpicker"
"94","colourvalues"
"95","commonmark"
"96","CompQuadForm"
"97","comtradr"
"98","config"
"99","conflicted"
"100","conquer"
"101","contfrac"
"102","coro"
"103","corpcor"
"104","correlation"
"105","corrplot"
"106","corrr"
"107","countdown"
"108","countrycode"
"109","covr"
"110","cowplot"
"111","cpp11"
"112","crayon"
"113","credentials"
"114","crosstable"
"115","crosstalk"
"116","crul"
"117","cshapes"
"118","cubelyr"
"119","curl"
"120","cyclocomp"
"121","dagitty"
"122","data.table"
"123","data.tree"
"124","DataEditR"
"125","datamods"
"126","datapasta"
"127","datawizard"
"128","DBI"
"129","dbplyr"
"130","dcurver"
"131","debugme"
"132","DeclareDesign"
"133","decoder"
"134","deldir"
"135","democracyData"
"136","dendextend"
"137","dendextendRcpp"
"138","denstrip"
"139","DEoptimR"
"140","Deriv"
"141","desc"
"142","descr"
"143","DescTools"
"144","deSolve"
"145","devEMF"
"146","devtools"
"147","dfidx"
"148","DiagrammeR"
"149","dials"
"150","DiceDesign"
"151","dichromat"
"152","diffobj"
"153","digest"
"154","directlabels"
"155","disco"
"156","distill"
"157","distributional"
"158","dlookr"
"159","docxtractr"
"160","doParallel"
"161","dotCall64"
"162","dotwhisker"
"163","downlit"
"164","downloader"
"165","dplyr"
"166","DT"
"167","dtplyr"
"168","dtt"
"169","dygraphs"
"170","e1071"
"171","effects"
"172","effectsize"
"173","ellipse"
"174","ellipsis"
"175","elliptic"
"176","emmeans"
"177","emo"
"178","energy"
"179","english"
"180","equatiomatic"
"181","ergm"
"182","ergm.count"
"183","ERT"
"184","esquisse"
"185","estimability"
"186","estimatr"
"187","eurostat"
"188","evaluate"
"189","Exact"
"190","exactRankTests"
"191","exams"
"192","expm"
"193","extraDistr"
"194","extrafont"
"195","extrafontdb"
"196","ezpickr"
"197","fable"
"198","fabletools"
"199","fabricatr"
"200","factoextra"
"201","FactoMineR"
"202","fansi"
"203","faraway"
"204","farver"
"205","fastmap"
"206","fastmatch"
"207","feasts"
"208","fields"
"209","finalfit"
"210","flashClust"
"211","flexmix"
"212","flextable"
"213","fmsb"
"214","FNN"
"215","fontawesome"
"216","forcats"
"217","foreach"
"218","forecast"
"219","foreign"
"220","forge"
"221","formatR"
"222","Formula"
"223","formula.tools"
"224","fpp3"
"225","fracdiff"
"226","fs"
"227","furrr"
"228","fusen"
"229","futile.logger"
"230","futile.options"
"231","future"
"232","future.apply"
"233","futurevisions"
"234","fuzzyjoin"
"235","gamm4"
"236","gapminder"
"237","gargle"
"238","gbRd"
"239","gclus"
"240","gdata"
"241","gdtools"
"242","geepack"
"243","generics"
"244","geojsonio"
"245","geojsonlint"
"246","geojsonsf"
"247","geometries"
"248","geomtextpath"
"249","geosphere"
"250","gert"
"251","GGally"
"252","ggalt"
"253","gganimate"
"254","ggdag"
"255","ggdendro"
"256","ggdist"
"257","ggeffects"
"258","ggExtra"
"259","ggforce"
"260","ggformula"
"261","ggfortify"
"262","ggfun"
"263","gggibbous"
"264","ggh4x"
"265","gghighlight"
"266","ggimage"
"267","ggiraph"
"268","ggiraphExtra"
"269","ggmap"
"270","ggmcmc"
"271","ggparty"
"272","ggplot2"
"273","ggplot2movies"
"274","ggplotify"
"275","ggpol"
"276","ggprism"
"277","ggpubr"
"278","ggraph"
"279","ggrepel"
"280","ggridges"
"281","ggsci"
"282","ggsignif"
"283","ggstance"
"284","ggstar"
"285","ggstatsplot"
"286","ggtext"
"287","ggthemes"
"288","ggwordcloud"
"289","gh"
